Tweets,Subjectivity,Polarity,Analysis,AnalysisValue
"“I would like to thank all those who have made this possible”

UK PM Boris Johnson welcomes the news of the Pfizer/BioNTech Covid vaccine being approved in the UK saying it will allow us to reclaim our lives and get our economy moving again”

 ",1,0,0.5,neutral
"“The safety of the public will always come first”

Dr June Raine Chief Executive of UK medicine regulator MHRA speaks about the UK’s approval of the Pfizer/BioNTech vaccine “following the most rigorous scientific assessment”

 ",0.25,0.1875,1,positive
"Hong Kong democracy activists Joshua Wong Agnes Chow and Ivan Lam sentenced to jail for involvement in mass protests last year 
",0.033333333,-0.05,0,negative
"I'm very proud that the UK is the first place in the world to have a clinically authorised vaccine

Health Secretary Matt Hancock says he's thrilled the Pfizer/BioNTech coronavirus vaccine has been approved for widespread use

 ",0.677777778,0.616666667,1,positive
"UK becomes the first country in the world to approve the Pfizer/BioNTech coronavirus vaccine for widespread use

",0.333333333,0.25,1,positive
US Attorney General William Barr says Justice Department has found no evidence of widespread fraud that could have changed 2020 election outcome ,0.5,0.05,1,positive
"China says its robotic Chang’e5 mission has successfully touched down on the Moon

The probe will collect samples of rock and dust to bring back to Earth

",0.359722222,0.123611111,1,positive
"Debenhams stores set to close putting 12000 jobs at risk as rescue hopes fade for 242yearold UK retailer

",0,0,0.5,neutral
"RT BCSport: Lewis Hamilton will miss this weekend's Sakhir Grand Prix in Bahrain after testing positive for coronavirus.

More: ",0.681818182,0.409090909,1,positive
Topshop Burton and Dorothy Perkins owner UK retail giant Arcadia goes into administration  with 13000 jobs at risk ,1,0,0.5,neutral
Iran's most senior nuclear scientist assassinated near the capital Tehran country's defence ministry says ,0.45,0.3,1,positive
R number of Covid19 falls below 1 in UK for first time since August indicating epidemic is no longer growing ,0.333333333,0.25,1,positive
England's latest coronavirus tiers are announced with Liverpool and London in tier two and Manchester in tier three ,0.9,0.5,1,positive
"President Trump pardons his former top security adviser Michael Flynn who had pleaded guilty to lying to the FBI

",0.5,0,0.5,neutral
"Diego Maradona was one of football's most gifted players

The Argentine boasted a rare combination of flair flamboyance vision and speed which mesmerised fans

Obituary: ",0.8,0.433333333,1,positive
Diego Maradona Argentina football legend and one of the greatest players of all time dies at 60 ,1,1,1,positive
"Iran releases BritishAustralian academic Kylie MooreGilbert in prisoner swap deal Iranian state media say

 ",0,0,0.5,neutral
"Number of unemployed people in the UK expected to peak at 2.6 million next year Chancellor Rishi Sunak says

",0.2,-0.05,0,negative
"UK government set to borrow £394bn this year the highest amount ever in peacetime history to help deal with coronavirus pandemic

",0,0,0.5,neutral
"“All the governments agreed that we should balance the need to protect public health with also allowing people to be with their loved ones”

UK Cabinet Officer Michael Gove outlines plans for Christmas restrictions

 ",0.433333333,0.35,1,positive
Up to three UK households can meet indoors during a fiveday Christmas period of 2327 December government leaders agree ,0,0,0.5,neutral
Harry Dunn's parents lose High Court battle against UK Foreign Office over whether their son's alleged killer had diplomatic immunity at time of crash in 2019 ,0.255,-0.021666667,0,negative
US President Donald Trump accepts that the formal transition to Joe Biden's White House can finally begin ,0.5,0,0.5,neutral
RT BCSport: A maximum of 4000 fans are to be allowed at outdoor events in the lowestrisk areas when the national lockdown in England en…,0,0,0.5,neutral
Covid19 vaccine developed by the University of Oxford is 70 effective large scale trial shows ,0.50952381,0.304761905,1,positive
England to enter tougher threetier system of Covid restrictions when national lockdown ends on 2 December ,0,0,0.5,neutral
Coronavirus infection rates are levelling off in England and Scotland and decreasing in Wales and Northern Ireland ONS data suggests ,0,0,0.5,neutral
"UK PM's adviser on ministerial code resigns as Boris Johnson backs Home Secretary Priti Patel after bullying inquiry

 ",0,0,0.5,neutral
Draft report says UK Home Secretary Priti Patel broke rules on ministerial behaviour sources tell BBC ,0,0,0.5,neutral
"Oxford coronavirus vaccine shows encouraging immune response from people in their 60s and 70s in trial results raising hopes it can protect those most at risk of illness from virus

",0.5,0.5,1,positive
Coronavirus vaccine by Pfizer and BioNTech 94 effective in adults aged over 65 latest trial suggests ,0.7,0.333333333,1,positive
UK's Labour party reinstates former leader Jeremy Corbyn following his suspension last month BBC understands ,0.055555556,0,0.5,neutral
Businessman who acted as a gobetween to secure PPE for NHS staff was paid £21m in UK taxpayer cash court documents show ,0.6,0.4,1,positive
Covid19 vaccine developed in US nearly 95 effective early data suggests adding to growing confidence vaccines can help end pandemic ,0.466666667,0.266666667,1,positive
Four astronauts take off from Florida on the first “routine” mission to the space station aboard a SpaceX rocket ,0.333333333,0.25,1,positive
PM Boris Johnson selfisolating after contact with someone who tested positive for Covid19 Downing Street says ,0.545454545,0.227272727,1,positive
"RT BCSport: Dustin Johnson wins The Masters! ??????

A stunning display to claim the green jacket with a record 20 under par! ???

?? Highligh…",0.5,0.208333333,1,positive
"Entertainer Des O'Connor has died at the age of 88 his agent confirms

 ",0,0,0.5,neutral
UK Prime Minister Boris Johnson's adviser Dominic Cummings leaves Number 10 Downing Street with immediate effect  ,0,0,0.5,neutral
"RT BCSport: SCOTLAND HAVE DONE IT! ??????????????

Aleksandar Mitrovic misses the crucial spot kick.

Scotland beat Serbia 54 on penalties and…",1,0,0.5,neutral
Number of new UK coronavirus cases hits 33470  the highest daily figure recorded in the country since the outbreak began ,0.227272727,0.068181818,1,positive
Former boxer Nicola Adams leaves Strictly Come Dancing after her partner Katya Jones tests positive for Covid19 ,0.272727273,0.113636364,1,positive
"UK economy bounces back from recession with 15.5 growth in July to September but GDP remains below preCovid level

 ",0,0,0.5,neutral
Four Hong Kong opposition lawmakers are disqualified after Beijing ruling ,0,0,0.5,neutral
RT BCSport: Greg Clarke has resigned as Football Association chairman following the language he used in a reference to black players when…,0.266666667,-0.083333333,0,negative
UK unemployment rate rises to 4.8 in three months to September up from 4.5 as effects of coronavirus continue ,0,0,0.5,neutral
Armenia Azerbaijan and Russia sign peace deal to end fighting in NagornoKarabakh ,0,0,0.5,neutral
UK PM Boris Johnson says coronavirus vaccine has cleared significant hurdle but warns of several more hurdles to come ,0.458333333,0.291666667,1,positive
Covid19 vaccine more than 90 effective in preventing disease in preliminary results says drugs firm Pfizer ,0.566666667,0.3,1,positive
"Prince Charles lays a wreath on behalf of the Queen at RemembranceSunday commemorations as the UK remembers those who lost their lives in conflicts

 ",0,0,0.5,neutral
"“I’m humbled by the trust and confidence you’ve placed in me… I pledge to be a president who seeks not to divide but to unify”

PresidentElect Joe Biden speaks to rapturous crowds in Delaware 

Election2020  ",0,0,0.5,neutral
"“When our very democracy was on the ballot in this election with the very soul of America at stake… you ushered in a new day for America”

VicePresidentElect Kamala Harris addresses crowds of supporters in Wilmington Delaware 

Election2020  ",0.351515152,0.178787879,1,positive
"“This election is about so much more than Joe Biden or me. It’s about the soul of America and our willingness to fight for it”

Kamala Harris makes history as the first female black and Asian American vicepresidentelect of the US

",0.238888889,0.097222222,1,positive
"Joe Biden wins US presidential election

BBC projects he’s secured enough electoral college votes to defeat Donald Trump

Election2020  ",0.35,0.15,1,positive
Actor Johnny Depp quits cast of Fantastic Beasts film franchise after losing libel case over claims he beat exwife Amber Heard ,0.9,0.4,1,positive
Actor Geoffrey Palmer who starred in British sitcoms Butterflies and As Time Goes By in TV career spanning seven decades has died ,0,0,0.5,neutral
